High-1	High-2	Low-2	Low-3
2310015K22Rik	0	0	0	0
Cul3	481	400	682	666
Gm29125	0	0	0	0
1700016L21Rik	0	0	0	0
Gm45261	0	0	0	0
Dock10	85	102	102	104
Nyap2	28	20	4	1
Irs1	19	18	33	61
Gm9747	0	0	0	0
Rhbdd1	1129	728	728	1610
Gm28940	2	0	0	0
Col4a4	0	0	5	4
Col4a3	3	14	14	14
Mff	2873	3452	3610	4004
Tm4sf20	0	2	0	0
Gm47791	0	0	0	0
Gm28942	0	0	0	0
Agfg1	1973	1496	1772	2390
A030005L19Rik	1	0	2	6
A030014E15Rik	0	0	0	0
Gm6217	0	0	0	0
A030003K21Rik	0	0	0	0
Gm7544	0	0	0	0
Gm47955	0	0	0	0
Gm47959	0	0	0	0
Slc19a3	32	0	8	0
Krtap28-10	0	0	0	0
Gm47969	0	0	0	0
A030005K14Rik	0	0	0	0
Krtap28-13	0	0	0	0
Ccl20	5	9	0	0
Daw1	0	0	0	0
Sphkap	1768	1423	2188	4241
4933436I20Rik	0	0	0	0
Pid1	108	181	200	115
Dner	632	480	328	523
Trip12	820	616	944	908
Fbxo36	334	330	327	285
Slc16a14	1	0	0	0
C130026I21Rik	1	0	0	0
A530032D15Rik	1	2	2	0
Gm10553	0	0	0	0
A530040E14Rik	0	2	0	1
Gm16028	0	0	0	0
Gm16025	0	0	0	0
Gm16092	0	0	0	0
G530012D18Rik	0	0	0	0
Sp110	28	21	3	6
Gm16094	0	0	0	0
Sp140	14	6	13	12
Gm10552	0	0	0	0
Gm17017	0	0	0	0
Sp100	142	67	0	21
A630001G21Rik	3	10	0	0
9930111H07Rik	0	0	0	0
Cab39	1325	914	1361	2246
Itm2c	12050	9147	9167	12352
4933407L21Rik	0	0	0	0
Gm28884	0	0	0	0
Gpr55	0	0	0	0
Gm28100	0	0	0	0
Spata3	0	0	0	0
2810459M11Rik	0	0	0	0
Psmd1	3534	2382	2507	4379
Htr2b	0	23	1	3
Gm21972	0	3	0	0
Armc9	287	171	449	675
Gm16341	0	3	0	1
B3gnt7	2	8	0	1
Gm28626	0	0	0	0
Ncl	3630	2513	2924	3741
Nmur1	0	0	0	0
Tex44	0	0	0	0
Ptma	5153	4552	5189	5520
Pde6d	1058	991	1129	1224
Cops7b	465	321	476	436
Nppc	0	0	6	0
Dis3l2	223	302	307	539
Gm28375	0	0	0	0
Gm29371	3	0	2	0
Alppl2	0	0	0	0
Alpi	0	0	0	0
Akp3	0	0	0	0
Gm29374	0	0	0	0
Ecel1	0	0	0	0
Prss56	0	0	0	0
Chrnd	0	0	0	0
Chrng	1	0	0	0
Eif4e2	1028	828	867	1018
Efhd1	0	0	0	12
Efhd1os	0	0	0	0
Gigyf2	573	386	515	731
Kcnj13	0	1	0	0
3110079O15Rik	0	0	0	0
Ngef	33	17	3	11
Neu2	19	19	14	14
Inpp5d	41	95	6	25
Atg16l1	833	523	650	1008
Sag	5	9	0	8
Dgkd	712	382	821	1185
Gm19582	12	13	21	34
Usp40	261	164	228	333
Ugt1a10	0	0	0	0
Ugt1a9	133	51	14	27
Ugt1a8	0	0	0	0
Ugt1a7c	13	19	0	1
Ugt1a6b	2	0	1	1
Ugt1a6a	43	51	61	67
Ugt1a5	0	0	0	0
Ugt1a2	0	0	0	0
Dnajb3	58	98	60	59
Ugt1a1	0	0	0	0
Mroh2a	7	41	5	7
Hjurp	539	274	311	441
Trpm8	0	4	2	0
4930453O03Rik	0	0	0	0
Spp2	3	5	0	2
Gm29538	0	0	0	0
Gm28888	0	0	0	0
Glrp1	0	0	0	0
Gm19589	0	0	0	0
Gm29336	0	0	0	0
Arl4c	17	26	0	3
Platr5	0	0	0	0
Gm29337	0	0	0	0
1700067G17Rik	0	0	0	0
Sh3bp4	131	212	304	561
Gm28342	0	0	0	0
C030007H22Rik	0	0	0	0
Agap1	1022	752	952	1476
Gbx2	0	0	0	0
Asb18	0	0	0	0
Iqca	0	4	0	0
4930434B07Rik	0	0	0	0
Ackr3	0	0	0	0
Gm28721	0	0	0	0
Gm28723	0	0	0	0
Gm28722	0	0	0	0
Cops8	1719	1669	1825	2403
Gm9991	0	0	0	0
Col6a3	190	200	316	592
Mlph	155	56	127	170
Prlh	0	0	0	0
Rab17	10	25	21	41
Gm28199	0	0	0	0
Lrrfip1	499	291	420	588
Rbm44	0	0	0	0
Ramp1	73	75	52	58
Ube2f	1121	1295	1128	1133
Gm26683	12	25	9	9
Scly	2215	1844	2266	3276
Gm17090	2	0	0	1
Espnl	9	33	18	44
Klhl30	0	0	1	0
Erfe	6	0	2	0
Ilkap	1409	1455	1543	1914
1700020N18Rik	0	0	1	0
Hes6	2004	2139	2373	3158
Per2	213	86	358	491
Gm28382	0	0	0	0
Traf3ip1	62	36	77	106
Asb1	356	229	448	578
Gm28380	0	0	0	0
Gm29100	0	0	0	0
Twist2	0	0	0	0
Hdac4	446	326	454	525
Gm26720	0	0	0	0
Gm29099	0	0	0	0
Ndufa10	1735	1866	1988	2209
Olfr1416	0	0	0	0
Olfr1415	0	0	0	0
Olfr1414	0	0	0	0
Olfr1413	0	0	0	0
1700054K02Rik	0	0	0	0
Olfr1412	0	0	0	0
Olfr1411	0	0	0	0
Olfr1410	0	0	0	0
Olfr12	0	0	0	0
Cops9	2009	1677	1539	1642
Otos	0	0	7	0
Gm29483	0	0	0	0
Gm29482	0	0	0	0
Gm29481	0	0	0	0
Gpc1	123	115	82	198
Gm29480	0	0	0	0
Ankmy1	3	8	12	0
Dusp28	638	885	1181	816
5033417F24Rik	51	25	62	59
Rnpepl1	1686	1192	1434	2703
9430060I03Rik	19	19	33	33
Capn10	529	514	630	1034
Gpr35	62	66	0	6
Aqp12	12	13	0	0
Kif1a	2347	1622	2137	2526
Gm28086	0	0	0	0
Agxt	0	0	0	0
2310007B03Rik	0	0	0	0
Crocc2	0	0	0	0
Sned1	2	4	4	5
Mterf4	207	187	268	248
Gm28535	0	0	0	0
Pask	5	25	33	6
Ppp1r7	599	558	493	860
Ano7	21	19	38	24
Hdlbp	4774	2794	4023	6798
Sept2	1068	1173	1504	1851
Farp2	207	155	194	325
Stk25	2948	2204	2576	3983
Gm28536	7	2	2	4
Bok	117	147	78	73
Thap4	324	304	394	434
Gm10550	0	0	0	0
Atg4b	1403	1040	1337	1926
Dtymk	765	757	593	722
Ing5	143	138	213	370
D2hgdh	167	151	196	258
Gal3st2	0	0	0	0
Gal3st2b	0	0	0	0
Gal3st2c	0	0	0	0
Neu4	0	0	0	0
Pdcd1	0	2	0	0
4930440C22Rik	0	0	2	0
Fam174a	1348	2132	2380	2208
St8sia4	0	0	0	0
4930598F16Rik	0	0	0	0
1700063A18Rik	0	0	0	0
Gm29601	0	0	0	0
4930533P14Rik	0	0	0	0
Slco4c1	0	0	0	0
Panct2	30	16	7	9
Gm28901	3	4	7	2
Slco6c1	0	0	0	0
D1Ertd622e	744	966	978	1069
Ppip5k2	416	272	324	657
Gin1	222	202	245	324
Pam	6893	4863	4330	3892
1810006J02Rik	7	3	0	1
Gm29461	0	0	0	0
Slco6d1	0	0	0	0
Gm7967	17	5	21	34
Cntnap5b	0	0	0	0
Gm20268	0	0	0	0
Gm28187	0	0	0	0
Cdh20	0	0	0	0
Gm15699	0	0	0	0
Gm29012	0	0	0	0
Rnf152	24	12	8	39
Gm17634	6	3	4	0
Pign	102	70	76	145
2310035C23Rik	218	171	209	439
Tnfrsf11a	243	209	291	402
Gm7160	216	240	353	254
Zcchc2	222	217	308	329
Gm20753	0	0	1	1
Phlpp1	126	69	100	142
A530053M12Rik	0	0	0	0
Bcl2	80	29	9	36
D630008O14Rik	0	0	0	0
Kdsr	230	276	436	417
Vps4b	2147	1449	1811	3086
Serpinb5	0	0	0	0
Serpinb12	0	0	0	0
Serpinb13	0	0	0	0
Serpinb3a	0	0	0	0
Serpinb3d	0	0	0	0
Serpinb3b	0	0	0	0
Serpinb3c	0	0	0	0
Serpinb11	0	0	0	0
Gm15391	0	0	0	0
Serpinb7	0	0	0	0
Serpinb2	23	8	0	0
Serpinb8	2	37	21	3
Gm15389	0	0	0	0
D830032E09Rik	0	0	0	0
Cdh7	86	71	76	211
Cdh19	0	0	0	0
Gm29088	0	0	0	0
Dsel	15	48	31	55
Gm28189	0	0	0	0
9330185C12Rik	0	0	0	0
Cntnap5a	0	0	0	0
Gm19965	0	0	0	0
Zfp813-ps	0	0	0	0
Gm28363	0	0	0	0
B020011L13Rik	0	0	0	0
Gm28360	0	0	0	0
Gm28168	0	0	0	0
Gm7145	0	0	0	0
Gm29106	0	0	1	0
Tsn	2121	2285	2564	2666
Nifk	1161	1049	1053	1200
Gm28867	0	0	0	0
Clasp1	198	171	263	274
2900060B14Rik	17	11	0	3
Tfcp2l1	44	1	31	20
Gli2	0	0	0	0
Gm26831	0	0	0	0
Gm29456	0	0	0	0
Gm29455	0	0	0	0
Inhbb	30	18	8	5
Ralb	956	845	805	1271
Gm27184	3	4	7	1
Tmem185b	601	598	447	579
3830432H09Rik	0	0	0	0
Epb41l5	536	442	462	987
Ptpn4	201	196	267	148
Gm28209	0	0	0	0
Tmem177	166	140	158	234
Cfap221	0	0	0	0
Sctr	0	0	0	0
Tmem37	57	198	12	29
Dbi	1623	1614	1360	1517
3110009E18Rik	45	107	121	114
Steap3	12	7	6	5
C1ql2	0	8	0	0
1700012E03Rik	0	0	0	0
Marco	0	12	0	0
En1	0	0	0	0
2610027F03Rik	2	0	1	0
Gm29346	0	2	0	0
Gm29345	0	0	0	0
Gm29348	0	0	0	0
Gm29347	0	0	0	0
Celrr	0	0	0	0
Gm29359	0	0	0	0
Insig2	1491	1874	1883	2410
2210011K15Rik	0	0	0	0
Ccdc93	179	65	78	133
Gm15392	0	0	0	0
Htr5b	0	1	0	0
Ddx18	524	513	485	521
Gm28590	0	0	0	0
Dpp10	1	8	13	11
Gm28928	0	0	0	0
1700121L03Rik	0	0	0	0
Actr3	2209	2300	2720	3775
Gm28706	0	0	0	0
Slc35f5	2570	2642	3133	4193
Gpr39	95	50	75	119
Lypd1	0	0	0	0
Nckap5	91	43	71	125
4930599A14Rik	0	0	0	0
